2kyS6SvSYSE,17.14.11,WE WANT TO TALK ABOUT OUR MARRIAGE,CaseyNeistat,2017-11-13T17:13:01.000Z,748374,57527,2966,15954
1ZAPwfrtAFY,17.14.11,The Trump Presidency: Last Week Tonight with John Oliver (HBO),LastWeekTonight,2017-11-13T07:30:00.000Z,2418783,97185,6146,12703
puqaWrEC7tY,17.14.11,Nickelback Lyrics: Real or Fake?,Good Mythical Morning,2017-11-13T11:00:04.000Z,343168,10172,666,2146
d380meD0W0M,17.14.11,I Dare You: GOING BALD!?,nigahiga,2017-11-12T18:01:41.000Z,2095731,132235,1989,17518
gHZ1Qz0KiKM,17.14.11,2 Weeks with iPhone X,iJustine,2017-11-13T19:07:23.000Z,119180,9763,511,1434
39idVpFF7NQ,17.14.11,Roy Moore & Jeff Sessions Cold Open - SNL,Saturday Night Live,2017-11-12T05:37:17.000Z,2103417,15993,2445,1970
nc99ccSXST0,17.14.11,5 Ice Cream Gadgets put to the Test,CrazyRussianHacker,2017-11-12T21:50:37.000Z,817732,23663,778,3432
jr9QtXwC9vc,17.14.11,The Greatest Showman | Official Trailer 2 [HD] | 20th Century FOX,20th Century Fox,2017-11-13T14:00:23.000Z,826059,3543,119,340
TUmyygCMMGA,17.14.11,Why the rise of the robots won’t mean the end of work,Vox,2017-11-13T13:45:16.000Z,256426,12654,1363,2368
9wRQljFNDW8,17.14.11,Dion Lewis' 103-Yd Kick Return TD vs. Denver! | Can't-Miss Play | NFL Wk 10 Highlights,NFL,2017-11-13T02:05:26.000Z,81377,655,25,177
VifQlJit6A0,17.14.11,(SPOILERS) 'Shiva Saves the Day' Talked About Scene Ep. 804 | The Walking Dead,amc,2017-11-13T03:00:00.000Z,104578,1576,303,1279
5E4ZBSInqUU,17.14.11,Marshmello - Blocks (Official Music Video),marshmello,2017-11-13T17:00:00.000Z,687582,114188,1333,8371
GgVmn66oK_A,17.14.11,Which Countries Are About To Collapse?,NowThis World,2017-11-12T14:00:00.000Z,544770,7848,1171,3981
TaTleo4cOs8,17.14.11,SHOPPING FOR NEW FISH!!!,The king of DIY,2017-11-12T18:30:01.000Z,207532,7473,246,2120
kgaO45SyaO4,17.14.11,The New SpotMini,BostonDynamics,2017-11-13T20:09:58.000Z,75752,9419,52,1230
ZAQs-ctOqXQ,17.14.11,One Change That Would Make Pacific Rim a Classic,Cracked,2017-11-12T17:00:05.000Z,295639,8011,638,1256
